name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch
LFA1-LFA2	ECOG	uV	n/a	n/a	bipolar	LFA	1000.0	strip	n/a
LFA2-LFA3	ECOG	uV	n/a	n/a	bipolar	LFA	1000.0	strip	n/a
LFA3-LFA4	ECOG	uV	n/a	n/a	bipolar	LFA	1000.0	strip	n/a
LFA4-LFA5	ECOG	uV	n/a	n/a	bipolar	LFA	1000.0	strip	n/a
LFA5-LFA6	ECOG	uV	n/a	n/a	bipolar	LFA	1000.0	strip	n/a
LFA6-LFA7	ECOG	uV	n/a	n/a	bipolar	LFA	1000.0	strip	n/a
LFA7-LFA8	ECOG	uV	n/a	n/a	bipolar	LFA	1000.0	strip	n/a
LFB1-LFB2	ECOG	uV	n/a	n/a	bipolar	LFB	1000.0	strip	n/a
LFB2-LFB3	ECOG	uV	n/a	n/a	bipolar	LFB	1000.0	strip	n/a
LFB3-LFB4	ECOG	uV	n/a	n/a	bipolar	LFB	1000.0	strip	n/a
LFB4-LFB5	ECOG	uV	n/a	n/a	bipolar	LFB	1000.0	strip	n/a
LFB5-LFB6	ECOG	uV	n/a	n/a	bipolar	LFB	1000.0	strip	n/a
LFB6-LFB7	ECOG	uV	n/a	n/a	bipolar	LFB	1000.0	strip	n/a
LFB7-LFB8	ECOG	uV	n/a	n/a	bipolar	LFB	1000.0	strip	n/a
LFC1-LFC2	ECOG	uV	n/a	n/a	bipolar	LFC	1000.0	strip	n/a
LFC2-LFC3	ECOG	uV	n/a	n/a	bipolar	LFC	1000.0	strip	n/a
LFC3-LFC4	ECOG	uV	n/a	n/a	bipolar	LFC	1000.0	strip	n/a
LFC4-LFC5	ECOG	uV	n/a	n/a	bipolar	LFC	1000.0	strip	n/a
LFC5-LFC6	ECOG	uV	n/a	n/a	bipolar	LFC	1000.0	strip	n/a
LFC6-LFC7	ECOG	uV	n/a	n/a	bipolar	LFC	1000.0	strip	n/a
LFC7-LFC8	ECOG	uV	n/a	n/a	bipolar	LFC	1000.0	strip	n/a
LAT1-LAT2	ECOG	uV	n/a	n/a	bipolar	LAT	1000.0	strip	n/a
LAT2-LAT3	ECOG	uV	n/a	n/a	bipolar	LAT	1000.0	strip	n/a
LAT3-LAT4	ECOG	uV	n/a	n/a	bipolar	LAT	1000.0	strip	n/a
LAT4-LAT5	ECOG	uV	n/a	n/a	bipolar	LAT	1000.0	strip	n/a
LAT5-LAT6	ECOG	uV	n/a	n/a	bipolar	LAT	1000.0	strip	n/a
LAT6-LAT7	ECOG	uV	n/a	n/a	bipolar	LAT	1000.0	strip	n/a
LAT7-LAT8	ECOG	uV	n/a	n/a	bipolar	LAT	1000.0	strip	n/a
LPA1-LPA2	ECOG	uV	n/a	n/a	bipolar	LPA	1000.0	strip	n/a
LPA2-LPA3	ECOG	uV	n/a	n/a	bipolar	LPA	1000.0	strip	n/a
LPA3-LPA4	ECOG	uV	n/a	n/a	bipolar	LPA	1000.0	strip	n/a
LPA4-LPA5	ECOG	uV	n/a	n/a	bipolar	LPA	1000.0	strip	n/a
LPA5-LPA6	ECOG	uV	n/a	n/a	bipolar	LPA	1000.0	strip	n/a
LPA6-LPA7	ECOG	uV	n/a	n/a	bipolar	LPA	1000.0	strip	n/a
LPA7-LPA8	ECOG	uV	n/a	n/a	bipolar	LPA	1000.0	strip	n/a
LPB1-LPB2	ECOG	uV	n/a	n/a	bipolar	LPB	1000.0	strip	n/a
LPB2-LPB3	ECOG	uV	n/a	n/a	bipolar	LPB	1000.0	strip	n/a
LPB3-LPB4	ECOG	uV	n/a	n/a	bipolar	LPB	1000.0	strip	n/a
LPB4-LPB5	ECOG	uV	n/a	n/a	bipolar	LPB	1000.0	strip	n/a
LPB5-LPB6	ECOG	uV	n/a	n/a	bipolar	LPB	1000.0	strip	n/a
LPB6-LPB7	ECOG	uV	n/a	n/a	bipolar	LPB	1000.0	strip	n/a
LPB7-LPB8	ECOG	uV	n/a	n/a	bipolar	LPB	1000.0	strip	n/a
LFD1-LFD2	ECOG	uV	n/a	n/a	bipolar	LFD	1000.0	strip	n/a
LFD2-LFD3	ECOG	uV	n/a	n/a	bipolar	LFD	1000.0	strip	n/a
LFD3-LFD4	ECOG	uV	n/a	n/a	bipolar	LFD	1000.0	strip	n/a
LFD4-LFD5	ECOG	uV	n/a	n/a	bipolar	LFD	1000.0	strip	n/a
LFD5-LFD6	ECOG	uV	n/a	n/a	bipolar	LFD	1000.0	strip	n/a
